Sample in Buffer,Sample in Window,TRIGGER,top_i/aiscale/cfg_tdata[298:0],top_i/aiscale/cfg_tdata_1[672:300],top_i/aiscale/cfg_tready,top_i/aiscale/cfg_tvalid,top_i/aiscale/dout0_tdata[68:0],top_i/aiscale/dout0_tready,top_i/aiscale/dout0_tvalid,top_i/aiscale/dout1_tdata[63:32],top_i/aiscale/dout1_tready,top_i/aiscale/dout1_tvalid,top_i/aiscale/dout2_tdata_1[2:1],top_i/aiscale/dout2_tdata[63:32],top_i/aiscale/dout2_tready,top_i/aiscale/dout2_tvalid,top_i/aiscale/dout3_tdata_1[15:1],top_i/aiscale/dout3_tdata[63:32],top_i/aiscale/dout3_tready,top_i/aiscale/dout3_tvalid,top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/handshake,top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/local_rst,top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/others_dout\\.data_1[154:91],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/others_dout\\.data_2[196:188],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/others_dout\\.data_3[289:258],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/others_dout\\.data[387:291],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/others_dout\\.dready,top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/others_dout\\.dvalid,top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/state_reg[2:0],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/wm_dout\\.data_1[47:0],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/wm_dout\\.data_2[73:73],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/wm_dout\\.data[78:78],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/wm_dout\\.dready,top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/wm_dout\\.dvalid,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/bias_wm\\.data_1[30:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/bias_wm\\.data_2[62:32],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/bias_wm\\.data_3[94:64],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/bias_wm\\.data_4[126:96],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/bias_wm\\.data[129:128],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/brick_combiner_if_s\\.data[63:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/brick_combiner_if_s\\.dready,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/brick_combiner_if_s\\.dvalid,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_im\\.data_1[63:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_im\\.data[69:67],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_im\\.dready,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_im\\.dvalid,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_wm\\.data[65:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_wm\\.dready,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_wm\\.dvalid,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzv_im\\.data[69:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzv_im\\.dready,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzv_im\\.dvalid,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzv_wm\\.data[65:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzv_wm\\.dready,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzv_wm\\.dvalid,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/rcu_top_if_s\\.data[16:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/rcu_top_if_s\\.dready,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/rcu_top_if_s\\.dvalid,top_i/aiscale/is_din_tdata[64:0],top_i/aiscale/is_din_tready,top_i/aiscale/is_din_tvalid,top_i/aiscale/nnzv_os_tdata[15:0],top_i/aiscale/nnzv_os_tready,top_i/aiscale/nnzv_os_tvalid
10,10,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00028800,00004c00,00000000,00000000,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,000000000004c0288,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,00000000000000000,1,0,0006,0,0
11,11,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,000b0300,0007c900,00010300,0008f100,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,008f1010307c90b03,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,00000000000000000,1,0,0006,0,0
12,12,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,000b0300,0007c900,00010300,0008f100,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,008f1010307c90b03,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,00404a0112a80d450,1,1,0006,0,0
13,13,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00d45000,002a8000,00a01100,00040400,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,00404a0112a80d450,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,00948019503f8070e,1,1,0006,0,0
14,14,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00070e00,0003f800,00019500,00094800,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,00948019503f8070e,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,003d1053a09b8038f,1,1,0006,0,0
15,15,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00038f00,0009b800,00053a00,0003d100,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,003d1053a09b8038f,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,00859031706050624,1,1,0006,0,0
16,16,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00062400,00060500,00031700,00085900,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,00859031706050624,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,10c500006009e0519,1,1,0006,0,0
17,17,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00051900,00009e00,00000600,000c5000,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,00c500006009e0519,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,00000000000000000,1,0,0006,0,0
18,18,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00062400,00060500,00031700,00085900,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,00859031706050624,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,00000000000000000,1,0,0006,0,0
19,19,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00062400,00060500,00031700,00085900,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,00859031706050624,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,01c0470152a80c404,1,1,0006,0,0
